plant_code,plant_name,year,state,net_gen_mwh,consumption_ML,withdrawal_ML,discharge_ML,facility_age_yrs,cooling_category,cooling_type_eia,n_cooling_systems,primary_fuel,LAT,LON,ashrae_zone,moisture_regime,ba_climate_zone,bws_raw,max_temp_f,min_temp_f,mean_temp_f,state_water_intensity_L_per_MWh,capacity_mw
990,Harding Street,2022,IN,1379690.0,4040.20216169,101833.34338976,97793.14122807,64,Open,ON,3,NG,39.711319,-86.196867,4A,A,Mixed-Humid,0.256390105,63.6,44.3,54.0,1928.1870398252572,1064.7
990,Harding Street,2021,IN,1537977.004,5711.85057392,96312.8680038,90601.03257152,63,Open,ON,3,NG,39.711319,-86.196867,4A,A,Mixed-Humid,0.256390105,63.9,45.8,54.9,1913.001539036669,1064.7
3484,Nichols,2024,TX,1728508.0,4342.27409428,4342.27409428,0.0,64,Closed,RI,3,NG,35.283357,-101.746423,4B,B,Mixed-Dry,1.107253721,76.0,47.7,61.9,777.322845056421,474.7
3484,Nichols,2021,TX,582238.0,2184.3216301700004,2184.3216301700004,0.0,61,Closed,RI,3,NG,35.283357,-101.746423,4B,B,Mixed-Dry,1.107253721,72.9,45.3,59.1,920.3527687577041,474.7
3484,Nichols,2023,TX,1210652.0,3288.3213150300003,3288.3213150300003,0.0,63,Closed,RI,3,NG,35.283357,-101.746423,4B,B,Mixed-Dry,1.107253721,74.2,46.3,60.3,776.325582577331,474.7
3484,Nichols,2022,TX,713298.0,2399.35563063,2399.35563063,0.0,62,Closed,RI,3,NG,35.283357,-101.746423,4B,B,Mixed-Dry,1.107253721,73.6,44.8,59.2,721.372033824905,474.7
2406,PSEG Linden Generating Station,2021,NJ,3539319.06,2866.32759364,4254.17246194,1227.51382775,15,Closed,RI,2,NG,40.6217,-74.2072,4A,A,Mixed-Humid,0.355848805,66.4,49.5,58.0,498.99284424211896,1740.0
2406,PSEG Linden Generating Station,2023,NJ,4689366.053,3692.8794379600004,5599.200557730001,1641.40298633,17,Closed,RI,2,NG,40.6217,-74.2072,4A,A,Mixed-Humid,0.355848805,67.2,50.2,58.7,510.40065575294307,1740.0
2406,PSEG Linden Generating Station,2024,NJ,4773968.995,3973.62815602,5545.89441411,1324.84428967,18,Closed,RI,2,NG,40.6217,-74.2072,4A,A,Mixed-Humid,0.355848805,67.1,50.3,58.7,530.816931471863,1740.0
2406,PSEG Linden Generating Station,2022,NJ,5076244.939,4124.99534569,5844.4421299900005,1679.91953308,16,Closed,RI,2,NG,40.6217,-74.2072,4A,A,Mixed-Humid,0.355848805,65.7,48.0,56.9,446.906278716345,1740.0
4078,Weston,2023,WI,3431150.955,4072.9800268800004,5213.44835168,1621.2153948,63,Open,ON,3,SUB,44.8606,-89.6553,6A,A,Cold,0.411708569,56.6,37.9,47.2,568.09964919461,1103.4
4078,Weston,2021,WI,4766844.034,5801.3300955,7580.8399802700005,1779.62344707,61,Open,ON,3,RC,44.8606,-89.6553,6A,A,Cold,0.411708569,57.2,37.6,47.4,908.5912065184291,1103.4
4078,Weston,2022,WI,4382091.987,5119.8919435299995,7031.01296318,1911.12480506,62,Open,ON,3,SUB,44.8606,-89.6553,6A,A,Cold,0.411708569,54.0,35.1,44.5,497.66271703425303,1103.4
4078,Weston,2024,WI,3981205.019,4853.78519135,6531.80444861,1678.0192572600001,43,Closed,RI,2,SUB,44.8606,-89.6553,6A,A,Cold,0.411708569,57.5,38.4,48.0,507.649591622557,1103.4
2398,Bergen Generating Station,2023,NJ,2610082.015,826.3777154600001,1652.74028928,826.3777154600001,28,Closed,RI,2,NG,40.8375,-74.0244,5A,A,Cold,0.355848805,64.8,51.0,57.9,510.40065575294307,1400.8
2398,Bergen Generating Station,2024,NJ,2166000.011,760.57971884,1521.14051063,760.57971884,29,Closed,RI,2,NG,40.8375,-74.0244,5A,A,Cold,0.355848805,64.9,50.9,57.9,530.816931471863,1400.8
2398,Bergen Generating Station,2022,NJ,2065411.016,645.90072289,1291.78630414,645.90072289,27,Closed,RI,2,NG,40.8375,-74.0244,5A,A,Cold,0.355848805,63.6,49.0,56.3,446.906278716345,1400.8
2398,Bergen Generating Station,2021,NJ,1739692.0,415.91435293000006,831.8287058600001,415.91435293000006,26,Closed,RI,2,NG,40.8375,-74.0244,5A,A,Cold,0.355848805,63.7,50.1,56.9,498.99284424211896,1400.8
688,Arvah B Hopkins,2021,FL,1411834.007,1263.06639847,1802.6993064300002,539.62912255,44,Closed,RI,1,NG,30.4522,-84.4,2A,A,Hot-Humid,0.390419117,79.8,58.1,69.0,614.3257591704711,673.1
688,Arvah B Hopkins,2024,FL,1751819.0,926.58887439,2158.74740021,1232.15852582,47,Closed,RI,1,NG,30.4522,-84.4,2A,A,Hot-Humid,0.390419117,82.4,59.6,71.0,838.3079358847431,673.1
